Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
Scarface,1932,PASSED,09 Apr 1932,93 min,"Action, Crime, Drama","Howard Hawks, Richard Rosson(co-director)",2 wins.,7.8,N/A,Scarface (1932)
Himitsu,1999,N/A,25 Sep 1999,119 min,"Drama, Fantasy",Yôjirô Takita,2 wins & 4 nominations.,6.8,N/A,Himitsu (1999)
The Secret Life of Walter Mitty,1947,APPROVED,01 Sep 1947,110 min,"Comedy, Fantasy, Romance",Norman Z. McLeod,N/A,7.1,N/A,The Secret Life of Walter Mitty (1947)
Geheimnis des blauen Zimmers,1932,N/A,13 Dec 1932,73 min,Horror,Erich Engels,N/A,N/A,N/A,Geheimnis des blauen Zimmers (1932)
Kibô-ga-oka fûfu sensô,1979,N/A,02 Jun 1979,69 min,Drama,Shôgorô Nishimura,N/A,N/A,N/A,Kibô-ga-oka fûfu sensô (1979)
Shadow of a Doubt,1943,APPROVED,15 Jan 1943,108 min,Thriller,Alfred Hitchcock,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,8.0,N/A,Shadow of a Doubt (1943)
The Shaggy Dog,1959,APPROVED,19 Mar 1959,104 min,"Family, Comedy, Fantasy",Charles Barton,1 win & 1 nomination.,6.5,N/A,The Shaggy Dog (1959)
"Shake, Rattle & Rock!",1956,N/A,01 Nov 1956,72 min,"Comedy, Drama, Musical",Edward L. Cahn,N/A,5.8,N/A,"Shake, Rattle & Rock! (1956)"
The Paleface,1948,NOT RATED,16 Feb 1949,91 min,"Comedy, Family, Western",Norman Z. McLeod,Won 1 Oscar. Another 2 nominations.,6.9,N/A,The Paleface (1948)
Lage Raho Munna Bhai,2006,PG-13,01 Sep 2006,144 min,"Comedy, Drama, Fantasy",Rajkumar Hirani,14 wins & 13 nominations.,8.1,N/A,Lage Raho Munna Bhai (2006)
Shiva,1989,N/A,05 Oct 1989,145 min,Action,Ram Gopal Varma,2 wins & 1 nomination.,8.2,N/A,Shiva (1989)
The Shopworn Angel,1928,N/A,29 Dec 1928,82 min,"Drama, Romance, War",Richard Wallace,N/A,6.8,N/A,The Shopworn Angel (1928)
The Devil and Daniel Webster,1941,APPROVED,17 Oct 1941,107 min,"Comedy, Drama, Fantasy",William Dieterle,Won 1 Oscar. Another 1 win & 1 nomination.,7.8,N/A,The Devil and Daniel Webster (1941)
Show Boat,1929,TV-G,28 Jul 1929,147 min,"Drama, Musical, Romance","Harry A. Pollard, Arch Heath",N/A,6.4,N/A,Show Boat (1929)
Sideways,2004,R,21 Jan 2005,126 min,"Comedy, Drama, Romance",Alexander Payne,Won 1 Oscar. Another 121 wins & 87 nominations.,7.5,"$71,444,367",Sideways (2004)
Ninotchka,1939,PASSED,23 Nov 1939,110 min,"Comedy, Romance",Ernst Lubitsch,Nominated for 4 Oscars. Another 3 wins & 2 nominations.,8.0,N/A,Ninotchka (1939)
The Sign of the Cross,1914,N/A,21 Dec 1914,N/A,Drama,Frederick A. Thomson,N/A,6.7,N/A,The Sign of the Cross (1914)
The Headless Horseman,1922,N/A,05 Nov 1922,68 min,"Comedy, Drama, Horror",Edward D. Venturini,N/A,5.1,N/A,The Headless Horseman (1922)
Penthouse,1933,APPROVED,08 Sep 1933,90 min,"Crime, Mystery, Romance",W.S. Van Dyke,N/A,6.9,N/A,Penthouse (1933)
Somewhere in Sonora,1927,N/A,03 Apr 1927,N/A,Western,Albert S. Rogell,N/A,N/A,N/A,Somewhere in Sonora (1927)
Ball of Fire,1941,PASSED,09 Jan 1942,111 min,"Comedy, Romance",Howard Hawks,Nominated for 4 Oscars. Another 1 win.,7.8,N/A,Ball of Fire (1941)
The House on Sorority Row,1983,R,21 Jan 1983,91 min,"Horror, Mystery, Thriller",Mark Rosman,N/A,6.1,N/A,The House on Sorority Row (1983)
Sorrell and Son,1927,N/A,02 Dec 1927,100 min,Drama,Herbert Brenon,N/A,6.2,N/A,Sorrell and Son (1927)
Sparkle,1976,PG,07 Apr 1976,98 min,"Drama, Music",Sam O'Steen,N/A,7.2,N/A,Sparkle (1976)
Spring in a Small Town,1948,N/A,10 Nov 1993,98 min,"Drama, Romance",Mu Fei,N/A,7.6,N/A,Spring in a Small Town (1948)
The Squaw Man,1914,NOT RATED,15 Feb 1914,74 min,"Action, Drama, Romance","Oscar Apfel, Cecil B. DeMille",N/A,6.2,N/A,The Squaw Man (1914)
Morning Glory,1933,PASSED,18 Aug 1933,74 min,"Drama, Romance",Lowell Sherman,N/A,6.6,N/A,Morning Glory (1933)
Stagecoach,1939,NOT RATED,03 Mar 1939,96 min,"Adventure, Western",John Ford,Won 2 Oscars. Another 5 wins & 5 nominations.,7.9,N/A,Stagecoach (1939)
A Star Is Born,1937,NOT RATED,27 Apr 1937,111 min,Drama,"William A. Wellman, Jack Conway",Won 1 Oscar. Another 2 wins & 7 nominations.,7.6,N/A,A Star Is Born (1937)
State Fair,1933,PASSED,10 Feb 1933,99 min,"Comedy, Drama, Romance",Henry King,Nominated for 2 Oscars. Another 2 wins.,6.9,N/A,State Fair (1933)
The Stepfather,1987,R,05 Jun 1987,89 min,"Horror, Thriller",Joseph Ruben,2 wins & 8 nominations.,6.8,N/A,The Stepfather (1987)
The Stepford Wives,1975,PG,12 Feb 1975,115 min,"Horror, Mystery, Sci-Fi",Bryan Forbes,1 win & 1 nomination.,6.9,N/A,The Stepford Wives (1975)
Straw Dogs,1971,R,30 Jan 1972,113 min,"Crime, Drama, Thriller",Sam Peckinpah,Nominated for 1 Oscar. Another 1 win & 1 nomination.,7.5,N/A,Straw Dogs (1971)
The Student of Prague,1913,APPROVED,01 Sep 1913,85 min,"Drama, Fantasy, Horror","Paul Wegener, Stellan Rye(co-director)",N/A,6.6,N/A,The Student of Prague (1913)
The Sunshine Boys,1975,PG,30 Jan 1976,111 min,Comedy,Herbert Ross,Won 1 Oscar. Another 5 wins & 6 nominations.,7.2,N/A,The Sunshine Boys (1975)
Sunset Boulevard,1950,NOT RATED,29 Sep 1950,110 min,"Drama, Film-Noir",Billy Wilder,Won 3 Oscars. Another 15 wins & 18 nominations.,8.5,N/A,Sunset Boulevard (1950)
Suspicion,1941,NOT RATED,14 Nov 1941,99 min,"Mystery, Thriller",Alfred Hitchcock,Won 1 Oscar. Another 3 wins & 2 nominations.,7.4,N/A,Suspicion (1941)
The Swan,1925,N/A,16 Feb 1925,85 min,"Comedy, Romance",Dimitri Buchowetzki,N/A,6.2,N/A,The Swan (1925)
Sweet November,1968,APPROVED,08 Feb 1968,114 min,"Comedy, Drama, Romance",Robert Ellis Miller,N/A,7.1,N/A,Sweet November (1968)
Swiss Family Robinson,1940,N/A,08 Feb 1940,93 min,Adventure,Edward Ludwig,N/A,6.9,N/A,Swiss Family Robinson (1940)
Ramana,2002,N/A,N/A,140 min,"Action, Drama",A.R. Murugadoss,1 win.,8.1,N/A,Ramana (2002)
The Taking of Pelham One Two Three,1974,R,14 Nov 1974,104 min,"Action, Crime, Thriller",Joseph Sargent,Nominated for 1 BAFTA Film Award. Another 2 nominations.,7.7,N/A,The Taking of Pelham One Two Three (1974)
Tarzan the Ape Man,1932,PASSED,02 Apr 1932,100 min,"Action, Adventure, Romance",W.S. Van Dyke,1 win & 1 nomination.,7.2,N/A,Tarzan the Ape Man (1932)
Taxi,1996,N/A,11 Oct 1996,112 min,"Crime, Drama, Romance",Carlos Saura,2 wins & 3 nominations.,6.7,N/A,Taxi (1996)
In the Wake of the Bounty,1933,N/A,15 Mar 1933,66 min,"Action, Drama",Charles Chauvel,N/A,5.0,N/A,In the Wake of the Bounty (1933)
The Texas Chain Saw Massacre,1974,R,04 Oct 1974,83 min,Horror,Tobe Hooper,1 win & 1 nomination.,7.5,N/A,The Texas Chain Saw Massacre (1974)
That Darn Cat!,1965,APPROVED,02 Dec 1965,116 min,"Comedy, Crime, Family",Robert Stevenson,6 nominations.,6.7,N/A,That Darn Cat! (1965)
The Life of Jimmy Dolan,1933,TV-G,03 Jun 1933,88 min,"Romance, Drama",Archie Mayo,N/A,6.8,N/A,The Life of Jimmy Dolan (1933)
The Thief of Bagdad,1924,APPROVED,11 Apr 1924,155 min,"Adventure, Family, Fantasy",Raoul Walsh,2 wins.,7.9,N/A,The Thief of Bagdad (1924)
The Thing from Another World,1951,APPROVED,22 Jul 1951,87 min,"Horror, Sci-Fi","Christian Nyby, Howard Hawks",1 win.,7.2,N/A,The Thing from Another World (1951)
13 Ghosts,1960,NOT RATED,01 Jul 1960,85 min,Horror,William Castle,1 nomination.,6.1,N/A,13 Ghosts (1960)
The 39 Steps,1935,NOT RATED,01 Aug 1935,86 min,"Mystery, Thriller",Alfred Hitchcock,1 win & 1 nomination.,7.8,N/A,The 39 Steps (1935)
The Thomas Crown Affair,1968,R,26 Jun 1968,102 min,"Crime, Drama, Romance",Norman Jewison,Won 1 Oscar. Another 1 win & 5 nominations.,7.0,N/A,The Thomas Crown Affair (1968)
The Three Musketeers,1921,N/A,28 Aug 1921,119 min,"Action, Adventure, Romance",Fred Niblo,N/A,7.0,N/A,The Three Musketeers (1921)
The Time Machine,1960,APPROVED,02 Sep 1960,103 min,"Adventure, Romance, Sci-Fi",George Pal,Won 1 Oscar. Another 1 nomination.,7.6,N/A,The Time Machine (1960)
To Be or Not to Be,1942,NOT RATED,06 Mar 1942,99 min,"Comedy, War",Ernst Lubitsch,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,8.2,N/A,To Be or Not to Be (1942)
To Have and to Hold,1916,N/A,05 Mar 1916,50 min,"Adventure, Drama",George Melford,N/A,N/A,N/A,To Have and to Hold (1916)
Tol'able David,1921,N/A,31 Dec 1921,99 min,Drama,Henry King,2 wins.,7.9,N/A,Tol'able David (1921)
Leave Her to Heaven,1945,NOT RATED,01 Jan 1946,110 min,"Drama, Film-Noir, Romance",John M. Stahl,Won 1 Oscar. Another 4 nominations.,7.8,N/A,Leave Her to Heaven (1945)
The Toolbox Murders,1978,R,03 Mar 1978,93 min,"Horror, Mystery, Thriller",Dennis Donnelly,N/A,5.3,N/A,The Toolbox Murders (1978)
Eat Drink Man Woman,1994,UNRATED,03 Aug 1994,124 min,"Comedy, Drama, Romance",Ang Lee,Nominated for 1 Oscar. Another 5 wins & 13 nominations.,7.8,N/A,Eat Drink Man Woman (1994)
Total Recall,1990,R,01 Jun 1990,113 min,"Action, Sci-Fi, Thriller",Paul Verhoeven,Nominated for 2 Oscars. Another 8 wins & 14 nominations.,7.5,N/A,Total Recall (1990)
Anthony Zimmer,2005,N/A,27 Apr 2005,89 min,"Crime, Drama, Romance",Jérôme Salle,1 nomination.,6.5,N/A,Anthony Zimmer (2005)
Tower of London,1939,APPROVED,17 Nov 1939,92 min,"Drama, History",Rowland V. Lee,1 nomination.,6.8,N/A,Tower of London (1939)
Trader Horn,1931,PASSED,23 May 1931,122 min,"Adventure, Romance",W.S. Van Dyke,N/A,6.5,N/A,Trader Horn (1931)
La totale!,1991,N/A,18 Dec 1991,102 min,"Adventure, Comedy",Claude Zidi,N/A,6.2,N/A,La totale! (1991)
Charade,1963,NOT RATED,05 Dec 1963,113 min,"Comedy, Mystery, Romance",Stanley Donen,Nominated for 1 Oscar. Another 3 wins & 8 nominations.,8.0,N/A,Charade (1963)
Unfaithfully Yours,1948,APPROVED,10 Dec 1948,105 min,"Comedy, Music, Romance",Preston Sturges,N/A,7.7,N/A,Unfaithfully Yours (1948)
Unfaithfully Yours,1948,APPROVED,10 Dec 1948,105 min,"Comedy, Music, Romance",Preston Sturges,N/A,7.7,N/A,Unfaithfully Yours (1948)
Criss Cross,1949,NOT RATED,17 Jun 1949,84 min,"Crime, Drama, Film-Noir",Robert Siodmak,1 nomination.,7.6,N/A,Criss Cross (1949)
The Unholy Three,1925,PASSED,16 Aug 1925,86 min,"Crime, Drama, Romance",Tod Browning,N/A,7.3,N/A,The Unholy Three (1925)
The Unknown Soldier,1955,N/A,23 Dec 1955,177 min,"Drama, War",Edvin Laine,7 wins & 1 nomination.,7.9,N/A,The Unknown Soldier (1955)
Vanishing Point,1971,R,13 Mar 1971,99 min,"Action, Crime, Thriller",Richard C. Sarafian,N/A,7.3,N/A,Vanishing Point (1971)
Blaavand melder Storm,1938,N/A,26 Dec 1938,102 min,"Drama, Thriller","Lau Lauritzen, Alice O'Fredericks",N/A,6.0,N/A,Blaavand melder Storm (1938)
Village of the Damned,1960,PASSED,07 Dec 1960,77 min,"Horror, Sci-Fi",Wolf Rilla,2 nominations.,7.3,N/A,Village of the Damned (1960)
The More the Merrier,1943,PASSED,13 May 1943,104 min,"Comedy, Romance, War",George Stevens,Won 1 Oscar. Another 1 win & 5 nominations.,7.9,N/A,The More the Merrier (1943)
Walking Tall,1973,R,22 Feb 1973,125 min,"Action, Crime, Drama",Phil Karlson,N/A,7.0,N/A,Walking Tall (1973)
Waterloo Bridge,1931,N/A,01 Nov 1931,81 min,"Drama, Romance",James Whale,N/A,7.6,N/A,Waterloo Bridge (1931)
The War of the Worlds,1953,APPROVED,26 Aug 1953,85 min,"Action, Sci-Fi, Thriller",Byron Haskin,Won 1 Oscar. Another 4 wins & 2 nominations.,7.1,N/A,The War of the Worlds (1953)
The Way of All Flesh,1927,N/A,01 Oct 1927,94 min,Drama,Victor Fleming,N/A,7.3,N/A,The Way of All Flesh (1927)
Castle of Blood,1964,NOT RATED,14 Apr 1965,87 min,Horror,"Sergio Corbucci, Antonio Margheriti",N/A,7.0,N/A,Castle of Blood (1964)
Stepmom,1998,PG-13,25 Dec 1998,124 min,"Comedy, Drama",Chris Columbus,Nominated for 1 Golden Globe. Another 8 wins & 6 nominations.,6.7,N/A,Stepmom (1998)
We're No Angels,1955,NOT RATED,08 Sep 1955,106 min,"Comedy, Crime, Romance",Michael Curtiz,N/A,7.5,N/A,We're No Angels (1955)
The Reluctant Debutante,1958,APPROVED,25 Dec 1958,94 min,"Comedy, Romance",Vincente Minnelli,2 nominations.,7.0,N/A,The Reluctant Debutante (1958)
What Ever Happened to Baby Jane?,1962,NOT RATED,N/A,134 min,"Drama, Horror, Thriller",Robert Aldrich,Won 1 Oscar. Another 1 win & 11 nominations.,8.1,N/A,What Ever Happened to Baby Jane? (1962)
What Women Want,2000,PG-13,15 Dec 2000,127 min,"Comedy, Fantasy, Romance",Nancy Meyers,Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,6.4,"$181,483,882",What Women Want (2000)
When a Stranger Calls,1979,R,26 Oct 1979,97 min,"Crime, Drama, Horror",Fred Walton,1 win.,6.6,N/A,When a Stranger Calls (1979)
Where the Boys Are,1960,APPROVED,28 Dec 1960,99 min,"Comedy, Drama, Romance",Henry Levin,2 nominations.,6.7,N/A,Where the Boys Are (1960)
The Wicked Lady,1945,NOT RATED,21 Dec 1946,97 min,"Adventure, Drama",Leslie Arliss,N/A,6.8,N/A,The Wicked Lady (1945)
The Wicker Man,1973,R,07 Aug 1974,88 min,"Horror, Mystery, Thriller",Robin Hardy,1 win & 6 nominations.,7.6,N/A,The Wicker Man (1973)
Willard,1971,GP,30 Jul 1971,95 min,"Horror, Sci-Fi",Daniel Mann,2 nominations.,6.2,N/A,Willard (1971)
Blind,2011,NOT RATED,10 Aug 2011,111 min,"Action, Crime, Drama",Sang-hoon Ahn,4 wins & 4 nominations.,6.8,N/A,Blind (2011)
The Wizard of Gore,1970,NOT RATED,23 Oct 1970,95 min,Horror,Herschell Gordon Lewis,1 nomination.,5.5,N/A,The Wizard of Gore (1970)
The Wolf Man,1941,APPROVED,12 Dec 1941,70 min,Horror,George Waggner,1 win & 3 nominations.,7.4,N/A,The Wolf Man (1941)
The Woman in Black,1989,NOT RATED,24 Dec 1989,100 min,"Horror, Mystery",Herbert Wise,4 nominations.,7.3,N/A,The Woman in Black (1989)
The Woman in Black,1989,NOT RATED,24 Dec 1989,100 min,"Horror, Mystery",Herbert Wise,4 nominations.,7.3,N/A,The Woman in Black (1989)
Gigot,1962,N/A,01 Nov 1962,104 min,Comedy,Gene Kelly,Nominated for 1 Oscar. Another 1 nomination.,7.3,N/A,Gigot (1962)
The Yellow Handkerchief,1977,N/A,28 Apr 1978,109 min,"Comedy, Drama",Yôji Yamada,27 wins & 2 nominations.,7.5,N/A,The Yellow Handkerchief (1977)
Jogi the King,2005,N/A,01 Jan 2005,N/A,Action,N/A,N/A,N/A,N/A,Jogi the King (2005)
It Happened One Night,1934,NOT RATED,22 Feb 1934,105 min,"Comedy, Romance",Frank Capra,Won 5 Oscars. Another 5 wins & 2 nominations.,8.2,N/A,It Happened One Night (1934)
Son of Frankenstein,1939,APPROVED,13 Jan 1939,99 min,"Drama, Horror, Sci-Fi",Rowland V. Lee,1 win & 1 nomination.,7.2,N/A,Son of Frankenstein (1939)
"Yours, Mine and Ours",1968,UNRATED,24 Apr 1968,111 min,"Comedy, Family",Melville Shavelson,Nominated for 2 Golden Globes. Another 2 wins & 2 nominations.,7.2,N/A,"Yours, Mine and Ours (1968)"
The Major and the Minor,1942,PASSED,24 Dec 1942,100 min,"Comedy, Romance",Billy Wilder,3 wins.,7.6,N/A,The Major and the Minor (1942)
The Shop Around the Corner,1940,PASSED,12 Jan 1940,99 min,"Comedy, Drama, Romance",Ernst Lubitsch,2 wins.,8.1,N/A,The Shop Around the Corner (1940)
