remakes_title,remakes_year,originals_title,originals_year,remakes_yearsBetween,key,remakes_shortTitle,remakes_key,originals_shortTitle,originals_key
The Next Three Days (2010) dir. Paul Haggis,2010,Anything for Her (2008) dir. Fred Cavay’©,2008,2,The Next Three Days (2010) dir. Paul Haggis (2010),The Next Three Days ,The Next Three Days (2010),Anything for Her ,Anything for Her (2008)
Night and the City (1992) dir. Irwin Winkler,1992,Night and the City (1950) dir. Jules Dassin,1950,42,Night and the City (1992) dir. Irwin Winkler (1992),Night and the City ,Night and the City (1992),Night and the City ,Night and the City (1950)
Night Must Fall (1964) dir. Karel Reisz,1964,Night Must Fall (1937) dir. Richard Thorpe,1937,27,Night Must Fall (1964) dir. Karel Reisz (1964),Night Must Fall ,Night Must Fall (1964),Night Must Fall ,Night Must Fall (1937)
A Nightmare on Elm Street (2010) dir. Samuel Bayer,2010,A Nightmare on Elm Street (1984) dir. Wes Craven,1984,26,A Nightmare on Elm Street (2010) dir. Samuel Bayer (2010),A Nightmare on Elm Street ,A Nightmare on Elm Street (2010),A Nightmare on Elm Street ,A Nightmare on Elm Street (1984)
Night of the Demons (2009) dir. Adam Gierasch,2009,Night of the Demons (1988) dir. Kevin S. Tenney,1988,21,Night of the Demons (2009) dir. Adam Gierasch (2009),Night of the Demons ,Night of the Demons (2009),Night of the Demons ,Night of the Demons (1988)
Night of the Living Dead (1990) dir. Tom Savini,1990,Night of the Living Dead (1968) dir. George A. Romero,1968,22,Night of the Living Dead (1990) dir. Tom Savini (1990),Night of the Living Dead ,Night of the Living Dead (1990),Night of the Living Dead ,Night of the Living Dead (1968)
Night of the Living Dead 3D (2006) dir. Jeff Broadstreet,2006,Night of the Living Dead (1968) dir. George A. Romero,1968,38,Night of the Living Dead 3D (2006) dir. Jeff Broadstreet (2006),Night of the Living Dead 3D ,Night of the Living Dead 3D (2006),Night of the Living Dead ,Night of the Living Dead (1968)
Nightwatch (1997) dir. Ole Bornedal,1997,Nattevagten (1994) dir. Ole Bornedal,1994,3,Nightwatch (1997) dir. Ole Bornedal (1997),Nightwatch ,Nightwatch (1997),Nattevagten ,Nattevagten (1994)
Nine Months (1995) dir. Chris Columbus,1995,Neuf mois (1994) dir. Patrick Braoud’©,1994,1,Nine Months (1995) dir. Chris Columbus (1995),Nine Months ,Nine Months (1995),Neuf mois ,Neuf mois (1994)
No Reservations (2007) dir. Scott Hicks,2007,Mostly Martha (2001) dir. Sandra Nettelbeck,2001,6,No Reservations (2007) dir. Scott Hicks (2007),No Reservations ,No Reservations (2007),Mostly Martha ,Mostly Martha (2001)
Nosferatu (1979) dir. Werner Herzog,1979,Nosferatu (1922) dir. F.W. Murnau,1922,57,Nosferatu (1979) dir. Werner Herzog (1979),Nosferatu ,Nosferatu (1979),Nosferatu ,Nosferatu (1922)
No Way Out (1987) dir. Roger Donaldson,1987,"The Big Clock (1948) dir. John FarrowBased on the novel by Kenneth Fearing",1948,39,No Way Out (1987) dir. Roger Donaldson (1987),No Way Out ,No Way Out (1987),The Big Clock ,The Big Clock (1948)
Not of This Earth (1988) dir. Jim Wynorski,1988,Not of This Earth (1957) dir. Roger Corman,1957,31,Not of This Earth (1988) dir. Jim Wynorski (1988),Not of This Earth ,Not of This Earth (1988),Not of This Earth ,Not of This Earth (1957)
Not of This Earth (1995) dir. Terence H. Winkless,1995,Not of This Earth (1957) dir. Roger Corman,1957,38,Not of This Earth (1995) dir. Terence H. Winkless (1995),Not of This Earth ,Not of This Earth (1995),Not of This Earth ,Not of This Earth (1957)
Notorious (1992) dir. Colin Bucksey,1992,Notorious (1946) dir. Alfred Hitchcock,1946,46,Notorious (1992) dir. Colin Bucksey (1992),Notorious ,Notorious (1992),Notorious ,Notorious (1946)
Rangrezz (2013) dir. Priyadarshan,2013,Naadodigal (2009) dir. Samuthirakani,2009,4,Rangrezz (2013) dir. Priyadarshan (2013),Rangrezz ,Rangrezz (2013),Naadodigal ,Naadodigal (2009)
Run (2011) dir. Swapan Saha,2011,Naadodigal (2009) dir. Samuthirakani,2009,2,Run (2011) dir. Swapan Saha (2011),Run ,Run (2011),Naadodigal ,Naadodigal (2009)
Ithu Nammude Katha (2011) dir. Rajesh Kannankara,2011,Naadodigal (2009) dir. Samuthirakani,2009,2,Ithu Nammude Katha (2011) dir. Rajesh Kannankara (2011),Ithu Nammude Katha ,Ithu Nammude Katha (2011),Naadodigal ,Naadodigal (2009)
Hudugaru (2011) dir. Maadesh,2011,Naadodigal (2009) dir. Samuthirakani,2009,2,Hudugaru (2011) dir. Maadesh (2011),Hudugaru ,Hudugaru (2011),Naadodigal ,Naadodigal (2009)
Shambo Shiva Shambo (2010) dir. Samuthirakani,2010,Naadodigal (2009) dir. Samuthirakani,2009,1,Shambo Shiva Shambo (2010) dir. Samuthirakani (2010),Shambo Shiva Shambo ,Shambo Shiva Shambo (2010),Naadodigal ,Naadodigal (2009)
All the Best (2012) dir. J. D. Chakravarthy,2012,Nueve Reinas (2000) dir. Fabi¥Ë_¥Ë_n Bielinsky,2000,12,All the Best (2012) dir. J. D. Chakravarthy (2012),All the Best ,All the Best (2012),Nueve Reinas ,Nueve Reinas (2000)
Gulumaal: The Escape (2009) dir. V. K. Prakash,2009,Nueve Reinas (2000) dir. Fabi¥Ë_¥Ë_n Bielinsky,2000,9,Gulumaal: The Escape (2009) dir. V. K. Prakash (2009),Gulumaal: The Escape ,Gulumaal: The Escape (2009),Nueve Reinas ,Nueve Reinas (2000)
Bluffmaster! (2005) dir. Rohan Sippy,2005,Nueve Reinas (2000) dir. Fabi¥Ë_¥Ë_n Bielinsky,2000,5,Bluffmaster! (2005) dir. Rohan Sippy (2005),Bluffmaster! ,Bluffmaster! (2005),Nueve Reinas ,Nueve Reinas (2000)
Criminal (2004) dir. Gregory Jacobs,2004,Nueve Reinas (2000) dir. Fabi¥Ë_¥Ë_n Bielinsky,2000,4,Criminal (2004) dir. Gregory Jacobs (2004),Criminal ,Criminal (2004),Nueve Reinas ,Nueve Reinas (2000)
The Nutty Professor (1996) dir. Tom Shadyac,1996,The Nutty Professor (1963) dir. Jerry Lewis,1963,33,The Nutty Professor (1996) dir. Tom Shadyac (1996),The Nutty Professor ,The Nutty Professor (1996),The Nutty Professor ,The Nutty Professor (1963)
Ocean's Eleven (2001) dir. Steven Soderbergh,2001,Ocean's 11 (1960) dir. Lewis Milestone,1960,41,Ocean's Eleven (2001) dir. Steven Soderbergh (2001),Ocean's Eleven ,Ocean's Eleven (2001),Ocean's 11 ,Ocean's 11 (1960)
Oh Jonathan ¥Ë_¥Ë_¥Ë_ oh Jonathan!¥Ë_¥Ë_(de) (1973) dir. Franz Peter Wirth,1973,It Started with Eve (1941) dir. Henry Koster,1941,32,Oh Jonathan ¥Ë_¥Ë_¥Ë_ oh Jonathan!¥Ë_¥Ë_(de) (1973) dir. Franz Peter Wirth (1973),Oh Jonathan ¥Ë_¥Ë_¥Ë_ oh Jonathan!¥Ë_¥Ë_,Oh Jonathan ¥Ë_¥Ë_¥Ë_ oh Jonathan!¥Ë_¥Ë_ (1973),It Started with Eve ,It Started with Eve (1941)
The Old Dark House (1963) dir. William Castle,1963,The Old Dark House (1932) dir. James Whale,1932,31,The Old Dark House (1963) dir. William Castle (1963),The Old Dark House ,The Old Dark House (1963),The Old Dark House ,The Old Dark House (1932)
Oldboy (2013) dir. Spike Lee,2013,Oldboy (2003) dir. Park Chan-wook,2003,10,Oldboy (2013) dir. Spike Lee (2013),Oldboy ,Oldboy (2013),Oldboy ,Oldboy (2003)
I Am Legend (2007) dir. Francis Lawrence,2007,"The Last Man on Earth (1964) dir. Ubaldo Ragona and Sidney SalkowBased on the novel I Am Legend by Richard Matheson",1964,43,I Am Legend (2007) dir. Francis Lawrence (2007),I Am Legend ,I Am Legend (2007),The Last Man on Earth ,The Last Man on Earth (1964)
The Omega Man (1971) dir. Boris Sagal,1971,"The Last Man on Earth (1964) dir. Ubaldo Ragona and Sidney SalkowBased on the novel I Am Legend by Richard Matheson",1964,7,The Omega Man (1971) dir. Boris Sagal (1971),The Omega Man ,The Omega Man (1971),The Last Man on Earth ,The Last Man on Earth (1964)
The Omen (2006) dir. John Moore,2006,"The Omen (1976) dir. Richard DonnerBased on the David Seltzer novel of the same name.",1976,30,The Omen (2006) dir. John Moore (2006),The Omen ,The Omen (2006),The Omen ,The Omen (1976)
On the Beach (2000) dir. Russell Mulcahy,2000,On the Beach (1959) dir. Stanley Kramer,1959,41,On the Beach (2000) dir. Russell Mulcahy (2000),On the Beach ,On the Beach (2000),On the Beach ,On the Beach (1959)
One Million Years B.C. (1966) dir. Don Chaffey,1966,"One Million B.C. (1940) dir. Hal Roach & Hal Roach, Jr.",1940,26,One Million Years B.C. (1966) dir. Don Chaffey (1966),One Million Years B.C. ,One Million Years B.C. (1966),One Million B.C. ,One Million B.C. (1940)
One Missed Call (2007) dir. Eric Valette,2007,One Missed Call (Chakushin Ari) (2004) dir. Takashi Miike,2004,3,One Missed Call (2007) dir. Eric Valette (2007),One Missed Call ,One Missed Call (2007),One Missed Call ,One Missed Call (2004)
The Opposite Sex (1956) dir. David Miller,1956,The Women (1939) dir. George Cukor,1939,17,The Opposite Sex (1956) dir. David Miller (1956),The Opposite Sex ,The Opposite Sex (1956),The Women ,The Women (1939)
Orfeu (1999) dir. Carlos Diegues,1999,Black Orpheus (1959) dir. Marcel Camus,1959,40,Orfeu (1999) dir. Carlos Diegues (1999),Orfeu ,Orfeu (1999),Black Orpheus ,Black Orpheus (1959)
Orphans of the Storm (1921) dir. D. W. Griffith,1921,The Two Orphans (1915) dir. Herbert Brenon,1915,6,Orphans of the Storm (1921) dir. D. W. Griffith (1921),Orphans of the Storm ,Orphans of the Storm (1921),The Two Orphans ,The Two Orphans (1915)
Oscar (1991) dir. John Landis,1991,"Oscar (1967) dir. ¥Ë_¥Ë_douard MolinaroBased on the stage play by Claude Magnier",1967,24,Oscar (1991) dir. John Landis (1991),Oscar ,Oscar (1991),Oscar ,Oscar (1967)
The Out-of-Towners (1999) dir. Sam Weisman,1999,The Out-of-Towners (1970) dir. Arthur Hiller,1970,29,The Out-of-Towners (1999) dir. Sam Weisman (1999),The Out-of-Towners ,The Out-of-Towners (1999),The Out-of-Towners ,The Out-of-Towners (1970)
Outland (1981) dir. Peter Hyams,1981,High Noon (1952) dir. Fred Zinnemann,1952,29,Outland (1981) dir. Peter Hyams (1981),Outland ,Outland (1981),High Noon ,High Noon (1952)
The Outrage (1964) dir. Martin Ritt,1964,Rashomon (1950) dir. Akira Kurosawa,1950,14,The Outrage (1964) dir. Martin Ritt (1964),The Outrage ,The Outrage (1964),Rashomon ,Rashomon (1950)
Outside the Law (1930) dir. Tod Browning,1930,Outside the Law (1920) dir. Tod Browning,1920,10,Outside the Law (1930) dir. Tod Browning (1930),Outside the Law ,Outside the Law (1930),Outside the Law ,Outside the Law (1920)
Oxford Blues (1984) dir. Robert Boris,1984,A Yank at Oxford (1938) dir. Jack Conway,1938,46,Oxford Blues (1984) dir. Robert Boris (1984),Oxford Blues ,Oxford Blues (1984),A Yank at Oxford ,A Yank at Oxford (1938)
Painting the Clouds with Sunshine (1951) dir. David Butler,1951,Gold Diggers of 1933 (1933) dir. Mervyn LeRoy,1933,18,Painting the Clouds with Sunshine (1951) dir. David Butler (1951),Painting the Clouds with Sunshine ,Painting the Clouds with Sunshine (1951),Gold Diggers of 1933 ,Gold Diggers of 1933 (1933)
Paradise (1991) dir. Mary Agnes Donoghue,1991,Le grand chemin (1987) dir. Jean-Loup Hubert,1987,4,Paradise (1991) dir. Mary Agnes Donoghue (1991),Paradise ,Paradise (1991),Le grand chemin ,Le grand chemin (1987)
The Parent Trap (1998) dir. Nancy Meyers,1998,"The Parent Trap (1961) dir. David SwiftBased on the book Das doppelte Lottchen by Erich K¥Ë__stner",1961,37,The Parent Trap (1998) dir. Nancy Meyers (1998),The Parent Trap ,The Parent Trap (1998),The Parent Trap ,The Parent Trap (1961)
"Paris, When It Sizzles (1964) dir. Richard Quine",1964,Holiday for Henrietta (1952) dir. Julien Duvivier,1952,12,"Paris, When It Sizzles (1964) dir. Richard Quine (1964)","Paris, When It Sizzles ","Paris, When It Sizzles (1964)",Holiday for Henrietta ,Holiday for Henrietta (1952)
Pathfinder (2006) dir. Marcus Nispel,2006,Ofelas (1987) dir. Nils Gaup,1987,19,Pathfinder (2006) dir. Marcus Nispel (2006),Pathfinder ,Pathfinder (2006),Ofelas ,Ofelas (1987)
Peking Express (1951) dir. William Dieterle,1951,Shanghai Express (1932) dir. Josef von Sternberg,1932,19,Peking Express (1951) dir. William Dieterle (1951),Peking Express ,Peking Express (1951),Shanghai Express ,Shanghai Express (1932)
A Perfect Murder (1998) dir. Andrew Davis,1998,"Dial M for Murder (1954) dir. Alfred HitchcockBased on the stage thriller by Frederick Knott",1954,44,A Perfect Murder (1998) dir. Andrew Davis (1998),A Perfect Murder ,A Perfect Murder (1998),Dial M for Murder ,Dial M for Murder (1954)
The Phantom Carriage (1958) dir. Arne Mattsson,1958,The Phantom Carriage (1921) dir Victor Sj’_str’_m,1921,37,The Phantom Carriage (1958) dir. Arne Mattsson (1958),The Phantom Carriage ,The Phantom Carriage (1958),The Phantom Carriage ,The Phantom Carriage (1921)
Phantom of the Opera (1943) dir. Arthur Lubin,1943,The Phantom of the Opera (1925) dir Rupert Julian,1925,18,Phantom of the Opera (1943) dir. Arthur Lubin (1943),Phantom of the Opera ,Phantom of the Opera (1943),The Phantom of the Opera ,The Phantom of the Opera (1925)
Picnic (2000) dir. Ivan PasserPicnic (1986) dir. Marshall W. Mason,2000,Picnic (1955) dir. Joshua Logan,1955,45,Picnic (2000) dir. Ivan PasserPicnic (1986) dir. Marshall W. Mason (2000),Picnic ,Picnic (2000),Picnic ,Picnic (1955)
"""Pimpernel"" Smith (1941) dir. Leslie Howard",1941,The Scarlet Pimpernel (1934) dir. Harold Young,1934,7,"""Pimpernel"" Smith (1941) dir. Leslie Howard (1941)","""Pimpernel"" Smith ","""Pimpernel"" Smith (1941)",The Scarlet Pimpernel ,The Scarlet Pimpernel (1934)
Piranha 3-D (2010) dir. Alexandre AjaPiranha (1995) dir. Scott P. Levy,2010,Piranha (1978) dir. Joe Dante,1978,32,Piranha 3-D (2010) dir. Alexandre AjaPiranha (1995) dir. Scott P. Levy (2010),Piranha 3-D ,Piranha 3-D (2010),Piranha ,Piranha (1978)
The Plainsman (1966) dir. David Lowell Rich,1966,The Plainsman (1936) dir. Cecil B. DeMille,1936,30,The Plainsman (1966) dir. David Lowell Rich (1966),The Plainsman ,The Plainsman (1966),The Plainsman ,The Plainsman (1936)
Planet of the Apes (2001) dir. Tim Burton,2001,"Planet of the Apes (1968) dir. Franklin J. SchaffnerBased on the novel by Pierre Boulle",1968,33,Planet of the Apes (2001) dir. Tim Burton (2001),Planet of the Apes ,Planet of the Apes (2001),Planet of the Apes ,Planet of the Apes (1968)
The Plank (1979) dir. Eric Sykes,1979,The Plank (1967) dir. Eric Sykes,1967,12,The Plank (1979) dir. Eric Sykes (1979),The Plank ,The Plank (1979),The Plank ,The Plank (1967)
Pocketful of Miracles (1961) dir. Frank Capra,1961,Lady for a Day (1933) dir. Frank Capra,1933,28,Pocketful of Miracles (1961) dir. Frank Capra (1961),Pocketful of Miracles ,Pocketful of Miracles (1961),Lady for a Day ,Lady for a Day (1933)
Point Break (2015) dir. Ericson Core,2015,Point Break (1991) dir. Kathryn Bigelow,1991,24,Point Break (2015) dir. Ericson Core (2015),Point Break ,Point Break (2015),Point Break ,Point Break (1991)
Point of No Return (1993) dir. John Badham,1993,La Femme Nikita (1990) dir. Luc Besson,1990,3,Point of No Return (1993) dir. John Badham (1993),Point of No Return ,Point of No Return (1993),La Femme Nikita ,La Femme Nikita (1990)
Poltergeist (2015) dir. Gil Kenan,2015,Poltergeist (1982) dir. Tobe Hooper,1982,33,Poltergeist (2015) dir. Gil Kenan (2015),Poltergeist ,Poltergeist (2015),Poltergeist ,Poltergeist (1982)
Pokkiri (2007) dir. Prabhu Deva,2007,Pokiri (2006) dir. Puri Jagannadh,2006,1,Pokkiri (2007) dir. Prabhu Deva (2007),Pokkiri ,Pokkiri (2007),Pokiri ,Pokiri (2006)
Wanted (2009) dir. Prabhu Deva,2009,Pokiri (2006) dir. Puri Jagannadh,2006,3,Wanted (2009) dir. Prabhu Deva (2009),Wanted ,Wanted (2009),Pokiri ,Pokiri (2006)
Porki (2010) dir. M.D. Sridhar,2010,Pokiri (2006) dir. Puri Jagannadh,2006,4,Porki (2010) dir. M.D. Sridhar (2010),Porki ,Porki (2010),Pokiri ,Pokiri (2006)
The Poseidon Adventure (2005) dir. John Putch,2005,The Poseidon Adventure (1972) dir. Ronald Neame,1972,33,The Poseidon Adventure (2005) dir. John Putch (2005),The Poseidon Adventure ,The Poseidon Adventure (2005),The Poseidon Adventure ,The Poseidon Adventure (1972)
Poseidon (2006) dir. Wolfgang Petersen,2006,The Poseidon Adventure (1972) dir. Ronald Neame,1972,34,Poseidon (2006) dir. Wolfgang Petersen (2006),Poseidon ,Poseidon (2006),The Poseidon Adventure ,The Poseidon Adventure (1972)
The Preacher's Wife (1996) dir. Penny Marshall,1996,The Bishop's Wife (1947) dir. Henry Koster,1947,49,The Preacher's Wife (1996) dir. Penny Marshall (1996),The Preacher's Wife ,The Preacher's Wife (1996),The Bishop's Wife ,The Bishop's Wife (1947)
Premonition (2007) dir. Mennan Yapo,2007,"Premonition (2004) dir. Norio TsurutaBased on the manga Kyoufu Shinbun (""Newspaper of Terror"") by Jiro Tsunoda",2004,3,Premonition (2007) dir. Mennan Yapo (2007),Premonition ,Premonition (2007),Premonition ,Premonition (2004)
The Prisoner of Zenda (1952) dir. Richard Thorpe,1952,"The Prisoner of Zenda (1937) dir. John Cromwell and W. S. Van DykeBased on the novel by Anthony Hope",1937,15,The Prisoner of Zenda (1952) dir. Richard Thorpe (1952),The Prisoner of Zenda ,The Prisoner of Zenda (1952),The Prisoner of Zenda ,The Prisoner of Zenda (1937)
The Prisoner of Zenda (1979) dir. Richard Quine,1979,"The Prisoner of Zenda (1937) dir. John Cromwell and W. S. Van DykeBased on the novel by Anthony Hope",1937,42,The Prisoner of Zenda (1979) dir. Richard Quine (1979),The Prisoner of Zenda ,The Prisoner of Zenda (1979),The Prisoner of Zenda ,The Prisoner of Zenda (1937)
The Producers (2005) dir. Susan Stroman,2005,The Producers (1968) dir. Mel Brooks,1968,37,The Producers (2005) dir. Susan Stroman (2005),The Producers ,The Producers (2005),The Producers ,The Producers (1968)
Prom Night (2008) dir. Nelson McCormick,2008,Prom Night (1980) dir. Paul Lynch,1980,28,Prom Night (2008) dir. Nelson McCormick (2008),Prom Night ,Prom Night (2008),Prom Night ,Prom Night (1980)
Psycho (1998) dir. Gus Van Sant,1998,"Psycho (1960) dir. Alfred HitchcockBased on the novel by Robert Bloch",1960,38,Psycho (1998) dir. Gus Van Sant (1998),Psycho ,Psycho (1998),Psycho ,Psycho (1960)
Pulse (2006) dir. Jim Sonzero,2006,Kairo (2001) dir. Kiyoshi Kurosawa,2001,5,Pulse (2006) dir. Jim Sonzero (2006),Pulse ,Pulse (2006),Kairo ,Kairo (2001)
Pure Luck (1991) dir. Nadia Tass,1991,La Ch’åvre (1981) dir. Francis Veber,1981,10,Pure Luck (1991) dir. Nadia Tass (1991),Pure Luck ,Pure Luck (1991),La Ch’åvre ,La Ch’åvre (1981)
Pusher (2010) dir. Assad Raja,2010,Pusher (1996) dir. Nicolas Winding Refn,1996,14,Pusher (2010) dir. Assad Raja (2010),Pusher ,Pusher (2010),Pusher ,Pusher (1996)
Quarantine (2008) dir. John Erick Dowdle,2008,REC (2007) dir. Jaume Balaguer¥Ë__ and Paco Plaza,2007,1,Quarantine (2008) dir. John Erick Dowdle (2008),Quarantine ,Quarantine (2008),REC ,REC (2007)
The Racket (1951) dir. John Cromwell,1951,The Racket (1928) dir. Lewis Milestone,1928,23,The Racket (1951) dir. John Cromwell (1951),The Racket ,The Racket (1951),The Racket ,The Racket (1928)
Der Regenmacher (1980) dir. Ludwig Cremer,1980,The Rainmaker (1956) dir. Joseph Anthony,1956,24,Der Regenmacher (1980) dir. Ludwig Cremer (1980),Der Regenmacher ,Der Regenmacher (1980),The Rainmaker ,The Rainmaker (1956)
The Rainmaker (1982) dir. John Frankenheimer,1982,The Rainmaker (1956) dir. Joseph Anthony,1956,26,The Rainmaker (1982) dir. John Frankenheimer (1982),The Rainmaker ,The Rainmaker (1982),The Rainmaker ,The Rainmaker (1956)
The Rains of Ranchipur (1955) dir. Jean Negulesco,1955,The Rains Came (1939) dir. Clarence Brown,1939,16,The Rains of Ranchipur (1955) dir. Jean Negulesco (1955),The Rains of Ranchipur ,The Rains of Ranchipur (1955),The Rains Came ,The Rains Came (1939)
Ramgarh Ke Sholay (1991) dir. Ajit Dewani,1991,Sholay (1975) dir. Ramesh Sippy,1975,16,Ramgarh Ke Sholay (1991) dir. Ajit Dewani (1991),Ramgarh Ke Sholay ,Ramgarh Ke Sholay (1991),Sholay ,Sholay (1975)
Ram Gopal Varma Ki Aag (2007) dir. Ram Gopal Varma,2007,Sholay (1975) dir. Ramesh Sippy,1975,32,Ram Gopal Varma Ki Aag (2007) dir. Ram Gopal Varma (2007),Ram Gopal Varma Ki Aag ,Ram Gopal Varma Ki Aag (2007),Sholay ,Sholay (1975)
Ransom (1996) dir. Ron Howard,1996,Ransom! (1956) dir. Alex Segal,1956,40,Ransom (1996) dir. Ron Howard (1996),Ransom ,Ransom (1996),Ransom! ,Ransom! (1956)
Rear Window (1998) dir. Jeff Bleckner,1998,"Rear Window (1954) dir. Alfred HitchcockBased on the short story It Had to Be Murder by Cornell Woolrich",1954,44,Rear Window (1998) dir. Jeff Bleckner (1998),Rear Window ,Rear Window (1998),Rear Window ,Rear Window (1954)
Red Dawn (2012) dir. Dan Bradley,2012,Red Dawn (1984) dir. John Milius,1984,28,Red Dawn (2012) dir. Dan Bradley (2012),Red Dawn ,Red Dawn (2012),Red Dawn ,Red Dawn (1984)
Red Dragon (2002) dir. Brett Ratner,2002,Manhunter (1986) dir. Michael Mann,1986,16,Red Dragon (2002) dir. Brett Ratner (2002),Red Dragon ,Red Dragon (2002),Manhunter ,Manhunter (1986)
The Red Rider (1934) dir. Lew Landers,1934,Range Feud (1931) dir. D. Ross Lederman,1931,3,The Red Rider (1934) dir. Lew Landers (1934),The Red Rider ,The Red Rider (1934),Range Feud ,Range Feud (1931)
Reefer Madness (2005) dir. Andy Fickman,2005,Reefer Madness (1936) dir. Louis J. Gasnier,1936,69,Reefer Madness (2005) dir. Andy Fickman (2005),Reefer Madness ,Reefer Madness (2005),Reefer Madness ,Reefer Madness (1936)
Return to Paradise (1998) dir. Joseph Ruben,1998,Force Majeure (1989) dir. Pierre Jolievt,1989,9,Return to Paradise (1998) dir. Joseph Ruben (1998),Return to Paradise ,Return to Paradise (1998),Force Majeure ,Force Majeure (1989)
Reptilian (1999) dir. Shim Hyung-rae,1999,Yonggary (1967) dir. Kim Ki-duk,1967,32,Reptilian (1999) dir. Shim Hyung-rae (1999),Reptilian ,Reptilian (1999),Yonggary ,Yonggary (1967)
Rich And Famous (1981) dir. George Cukor,1981,Old Acquaintance (1943) dir. Vincent Sherman,1943,38,Rich And Famous (1981) dir. George Cukor (1981),Rich And Famous ,Rich And Famous (1981),Old Acquaintance ,Old Acquaintance (1943)
"Ride Him, Cowboy (1932) dir. Fred Allen",1932,The Unknown Cavalier (1926) dir. Albert S. Rogell,1926,6,"Ride Him, Cowboy (1932) dir. Fred Allen (1932)","Ride Him, Cowboy ","Ride Him, Cowboy (1932)",The Unknown Cavalier ,The Unknown Cavalier (1926)
Riding High (1950) dir. Frank Capra,1950,Broadway Bill (1934) dir. Frank Capra,1934,16,Riding High (1950) dir. Frank Capra (1950),Riding High ,Riding High (1950),Broadway Bill ,Broadway Bill (1934)
The Ring (2002) dir. Gore Verbinski,2002,Ringu (1998) dir. Hideo Nakata,1998,4,The Ring (2002) dir. Gore Verbinski (2002),The Ring ,The Ring (2002),Ringu ,Ringu (1998)
Rio Lobo (1970) dir. Howard Hawks,1970,Rio Bravo (1959) dir. Howard Hawks,1959,11,Rio Lobo (1970) dir. Howard Hawks (1970),Rio Lobo ,Rio Lobo (1970),Rio Bravo ,Rio Bravo (1959)
Rio Rita (1942) dir. S. Sylvan Simon,1942,Rio Rita (1929) dir. Luther Reed,1929,13,Rio Rita (1942) dir. S. Sylvan Simon (1942),Rio Rita ,Rio Rita (1942),Rio Rita ,Rio Rita (1929)
The Adventures of Robin Hood (1938) dir. Michael Curtiz & William Keighley,1938,Robin Hood (1922) dir. Allan Dwan,1922,16,The Adventures of Robin Hood (1938) dir. Michael Curtiz & William Keighley (1938),The Adventures of Robin Hood ,The Adventures of Robin Hood (1938),Robin Hood ,Robin Hood (1922)
The Story of Robin Hood and His Merrie Men (1952) dir. Ken Annakin,1952,Robin Hood (1922) dir. Allan Dwan,1922,30,The Story of Robin Hood and His Merrie Men (1952) dir. Ken Annakin (1952),The Story of Robin Hood and His Merrie Men ,The Story of Robin Hood and His Merrie Men (1952),Robin Hood ,Robin Hood (1922)
Robin Hood (1973) dir. Wolfgang Reitherman,1973,Robin Hood (1922) dir. Allan Dwan,1922,51,Robin Hood (1973) dir. Wolfgang Reitherman (1973),Robin Hood ,Robin Hood (1973),Robin Hood ,Robin Hood (1922)
Robin Hood: Prince of Thieves (1991) dir. Kevin Reynolds,1991,Robin Hood (1922) dir. Allan Dwan,1922,69,Robin Hood: Prince of Thieves (1991) dir. Kevin Reynolds (1991),Robin Hood: Prince of Thieves ,Robin Hood: Prince of Thieves (1991),Robin Hood ,Robin Hood (1922)
Robin Hood (2010) dir. Ridley Scott,2010,Robin Hood (1922) dir. Allan Dwan,1922,88,Robin Hood (2010) dir. Ridley Scott (2010),Robin Hood ,Robin Hood (2010),Robin Hood ,Robin Hood (1922)
RoboCop (2014) dir. Jos’© Padilha,2014,RoboCop (1987) dir. Paul Verhoeven,1987,27,RoboCop (2014) dir. Jos’© Padilha (2014),RoboCop ,RoboCop (2014),RoboCop ,RoboCop (1987)
Rock-A-Bye Baby (1958) dir. Frank Tashlin,1958,The Miracle of Morgan's Creek (1944) dir. Preston Sturges,1944,14,Rock-A-Bye Baby (1958) dir. Frank Tashlin (1958),Rock-A-Bye Baby ,Rock-A-Bye Baby (1958),The Miracle of Morgan's Creek ,The Miracle of Morgan's Creek (1944)
Rollerball (2002) dir. John McTiernan,2002,Rollerball (1975) dir. Norman Jewison,1975,27,Rollerball (2002) dir. John McTiernan (2002),Rollerball ,Rollerball (2002),Rollerball ,Rollerball (1975)
The Roman Spring of Mrs. Stone (2003) dir. Robert Allan Ackerman,2003,The Roman Spring of Mrs. Stone (1961) dir. Jos’© Quintero,1961,42,The Roman Spring of Mrs. Stone (2003) dir. Robert Allan Ackerman (2003),The Roman Spring of Mrs. Stone ,The Roman Spring of Mrs. Stone (2003),The Roman Spring of Mrs. Stone ,The Roman Spring of Mrs. Stone (1961)
Runaway Daughters (1994) dir. Joe Dante,1994,Runaway Daughters (1956) dir. Edward L. Cahn,1956,38,Runaway Daughters (1994) dir. Joe Dante (1994),Runaway Daughters ,Runaway Daughters (1994),Runaway Daughters ,Runaway Daughters (1956)
Sabine und die hundert M¥Ë__nner (1960) dir. Wilhelm Thiele,1960,One Hundred Men and a Girl (1937) dir. Henry Koster,1937,23,Sabine und die hundert M¥Ë__nner (1960) dir. Wilhelm Thiele (1960),Sabine und die hundert M¥Ë__nner ,Sabine und die hundert M¥Ë__nner (1960),One Hundred Men and a Girl ,One Hundred Men and a Girl (1937)
